   Li2-B4-O7  wave length (nm) vs light yield  more or less like this
   any comment lines before separator.
   ....  next is separator (# of - > 20)
#------------------------------------------------------   
 320.0    0.000
 324.2    0.366
 328.5    0.629
 332.7    0.811
 337.0    0.935
 341.2    1.023
 345.5    1.145
 349.7    1.456
 353.9    2.119
 358.2    3.297
 364.5    6.286
 368.8    8.836
 373.0   11.448
 377.3   13.790
 381.5   15.547
 385.8   17.127
 390.0   20.000
 394.2   25.045
 398.5   30.453
 400.6   32.520
 404.8   35.151
 409.1   38.063
 413.3   43.727
 417.6   51.468
 421.8   59.169
 426.1   65.536
 430.3   70.280
 434.5   73.567
 438.8   76.833
 443.0   81.552
 447.3   87.010
 451.5   91.275
 455.8   93.604
 460.0   95.000
 464.2   96.441
 468.5   98.241
 472.7   100.529
 477.0   103.139
 481.2   105.712
 485.5   108.143
 489.7   110.792
 493.9   113.903
 498.2   116.927
 502.4   119.054
 506.7   119.180
 510.9   115.966
 515.2   109.067
 519.4   100.287
 523.6   91.477
 527.9   83.078
 532.1   75.011
 536.4   67.765
 540.6   62.385
 544.8   59.211
 549.1   56.651
 553.3   53.078
 557.6   48.992
 561.8   45.853
 566.1   44.097
 570.3   42.916
 574.5   41.648
 578.8   40.349
 583.0   39.185
 587.3   37.976
 591.5   36.348
 595.8   34.047
 600.0   31.000
 604.2   27.335
 608.5   23.941
 612.7   21.802
 617.0   20.709
 621.2   19.641
 625.5   18.188
 629.7   17.048
 633.9   16.753
 638.2   16.450
 642.4   14.932
 646.7   12.240
 650.9    9.447
 655.2    7.218
 659.4    5.277
 663.6    3.269
 667.9    1.119
